userID-businessID,prediction
U484183079-B310008221,2.888492
U869401302-B446452519,4.762645
U432339197-B786213612,4.356036
U448608827-B819902435,3.953892
U881505651-B381436901,4.014928
U492615409-B027967055,4.687718
U387542790-B453188208,2.976252
U918512616-B530495282,4.625453
U005894384-B236484833,4.610506
U550177822-B976285935,3.834437
U710571438-B605293272,4.802413
U011629010-B075457375,4.308040
U921790978-B242986597,4.262366
U499437899-B408786256,3.802101
U514330599-B948773272,3.910347
U837004684-B421899816,4.004341
U629485114-B597464569,3.017358
U957346653-B030193354,4.195083
U498761972-B166055113,3.271632
U680104717-B153375427,3.634809
U020264643-B240707944,4.421429
U386496316-B743282456,4.388685
U761481699-B904142757,3.984809
U276359831-B249623133,4.703532
U154336322-B380509800,3.990304
U575870533-B099098244,4.006540
U317020716-B385887372,4.322181
U124699094-B611740995,4.475870
U153275062-B306820808,3.593677
U954425159-B527552090,4.725609
U534932474-B945696873,4.333905
U466979491-B682573633,3.820262
U610773584-B406250116,4.102873
U681039098-B180042527,4.443955
U985379327-B140125682,4.245241
U812419815-B675110872,4.247806
U077565602-B194544915,3.755183
U714131184-B307361690,4.771374
U514536313-B970453265,4.437997
U354195535-B045534159,3.876660
U310455674-B064367695,4.317888
U112348933-B940312066,4.810724
U688109023-B932189171,4.262687
U999033748-B660947372,4.466992
U998018573-B313603595,3.636314
U202112072-B145974521,4.094362
U787064870-B719728521,3.704646
U608975794-B134826933,4.005600
U911716983-B558904147,4.956276
U421544907-B408690319,4.192745
U267976096-B116560876,4.433327
U060820992-B287464045,3.512685
U886986027-B962328563,4.121732
U850402519-B331897963,4.131735
U702910341-B738177192,4.342835
U653502579-B990301339,3.895947
U681138891-B384362876,3.727297
U173661564-B270106420,3.646434
U357134079-B815567575,3.841353
U416754647-B940798125,4.319133
U001178676-B324311789,4.797454
U756587670-B706340231,4.122706
U096066454-B445208832,3.275812
U652611578-B847006256,4.507908
U802171515-B311598637,3.631957
U806817139-B947270697,3.580944
U335089549-B074793271,3.458361
U694967759-B389315990,3.731479
U171777544-B303010359,3.202126
U162751257-B398960189,4.239134
U657627184-B621239672,3.620139
U509748652-B122530822,4.535595
U726390462-B903693263,4.811205
U262521759-B736531675,4.169607
U206532960-B604600170,4.545181
U893463005-B071105621,3.632608
U485138708-B024569952,4.579389
U509176718-B614488102,4.238944
U898846188-B570953196,4.260876
U785437609-B256276720,3.710433
U098215913-B168300132,4.216516
U026060834-B760684428,3.979724
U983183419-B396604110,3.980421
U021483091-B039344069,4.796922
U017119702-B934254212,4.249525
U527368113-B338634213,3.624066
U050204393-B993810012,4.454237
U416964972-B999272675,4.841842
U718198957-B802829467,3.984085
U679404263-B038743534,3.897452
U738839723-B919376683,3.944651
U315870604-B559755671,4.242216
U121914779-B202992146,3.812977
U650405079-B672745042,4.403119
U241080933-B341481304,4.211467
U255819511-B973032191,3.856094
U867183725-B459182547,4.589317
U709217337-B637586807,4.237030
